path,year,hatchery,length,mass,date,flow
0,2010,1,197,81,113,430
1,2011,1,174,54,126,1580
1,2010,1,199,82,114,408
0,2010,1,206,89,117,365
0,2010,1,206,96,117,365
0,2011,1,231,139,116,1008
0,2006,1,194,80,108,765
1,2006,1,197,86,108,765
0,2009,1,176,59,124,725
1,2009,1,184,67,122,793
1,2010,1,184,68,115,394
1,2006,1,187,73,113,467
0,2010,1,182,64,113,430
0,2006,1,189,77,110,668
0,2009,1,188,69,122,793
0,2006,1,210,103,105,479
0,2006,1,174,58,107,762
0,2010,1,181,61,113,430
0,2010,1,185,65,119,351
0,2010,1,189,65,119,351
0,2009,1,179,59,124,725
0,2009,1,190,71,124,725
0,2010,1,194,86,113,430
0,2010,1,185,65,118,345
0,2010,1,187,65,118,345
0,2010,1,183,68,118,345
0,2010,1,189,75,118,345
0,2010,1,199,84,118,345
0,2010,1,199,92,118,345
0,2010,1,213,111,113,430
0,2005,1,188,69,109,773
0,2009,1,173,55,119,920
0,2009,1,165,53,125,592
1,2010,1,181,65,119,351
0,2010,1,190,68,114,408
0,2010,1,198,90,113,430
0,2006,1,199,98,117,416
0,2005,1,184,70,109,773
0,2006,1,186,72,110,668
0,2009,1,169,53,119,920
0,2010,1,196,73,117,365
0,2009,1,183,65,123,782
0,2006,1,184,68,107,762
0,2010,1,175,59,114,408
0,2010,1,181,60,113,430
0,2009,1,181,66,119,920
0,2010,1,175,53,113,430
0,2010,1,191,70,119,351
0,2010,1,194,79,113,430
1,2009,1,175,52,123,782
0,2010,1,173,51,113,430
0,2006,1,184,70,109,725
0,2010,1,213,105,115,394
0,2009,1,176,58,119,920
0,2010,1,185,66,119,351
0,2010,1,186,69,118,345
0,2010,1,186,70,120,351
0,2010,1,190,74,117,365
0,2010,1,192,78,119,351
0,2010,1,198,83,118,345
0,2010,1,179,64,115,394
0,2006,1,200,88,106,626
0,2010,1,177,61,113,430
1,2010,1,195,78,113,430
0,2010,1,193,79,113,430
0,2010,1,206,90,113,430
0,2005,1,178,71,109,773
1,2009,1,187,72,122,793
1,2009,1,196,85,124,725
0,2010,1,177,61,118,345
0,2010,1,185,63,119,351
1,2009,1,177,59,124,725
0,2010,1,182,56,113,430
0,2010,1,210,106,117,365
0,2005,1,174,65,109,773
0,2010,1,186,65,117,365
0,2009,1,176,54,120,833
0,2009,1,177,56,120,833
1,2009,1,172,55,119,920
0,2009,1,196,76,122,793
0,2010,1,184,63,117,365
0,2010,1,186,67,113,430
0,2010,1,187,72,113,430
1,2009,1,174,59,120,833
0,2010,1,180,60,118,345
0,2009,1,173,61,120,833
0,2010,1,191,75,118,345
0,2011,1,187,66,121,1453
0,2010,1,195,78,113,430
0,2010,1,204,82,113,430
1,2010,1,180,63,115,394
0,2010,1,188,73,115,394
0,2010,1,175,62,119,351
0,2011,1,212,98,121,1453
0,2010,1,191,80,113,430
0,2010,1,190,71,118,345
0,2010,1,202,88,118,345
0,2010,1,200,91,118,345
0,2010,1,209,96,118,345
0,2010,1,208,101,118,345
0,2010,1,192,74,113,430
0,2009,1,190,66,120,833
1,2011,1,202,82,118,1226
0,2011,1,191,71,117,1102
0,2010,1,187,75,117,365
0,2010,1,172,49,113,430
0,2010,1,187,70,118,345
0,2010,1,187,74,113,430
1,2009,1,171,52,124,725
0,2010,1,182,65,113,430
0,2010,1,194,80,118,345
0,2010,1,208,94,119,351
0,2010,1,193,78,113,430
0,2011,1,174,53,119,1337
0,2010,1,195,75,117,365
0,2011,1,185,68,118,1226
0,2010,1,188,67,119,351
0,2010,1,189,69,119,351
0,2010,1,190,72,119,351
0,2010,1,192,72,118,345
0,2010,1,196,74,118,345
0,2010,1,194,77,118,345
0,2010,1,183,63,119,351
0,2010,1,183,57,118,345
0,2010,1,181,67,117,365
0,2010,1,189,77,118,345
1,2011,1,180,61,119,1337
0,2010,1,203,85,118,345
0,2006,1,209,101,117,416
0,2011,1,178,65,142,1065
1,2006,0,182,60,130,430
0,2006,0,186,62,130,430
0,2006,0,196,72,130,430
0,2006,0,175,52,130,430
0,2006,0,179,50,129,388
1,2011,0,146,30,143,963
0,2006,0,176,53,132,470
0,2011,0,144,28,136,1172
1,2011,0,155,33,136,1172
0,2010,0,201,80,136,215
0,2006,0,191,63,130,430
0,2006,0,198,72,130,430
0,2006,0,189,59,130,430
0,2011,0,135,22,136,1172
1,2011,0,141,26,136,1172
0,2011,0,149,30,136,1172
0,2011,0,156,35,136,1172
0,2011,0,160,43,136,1172
0,2006,0,187,64,130,430
0,2010,0,167,41,136,215
0,2011,0,135,24,136,1172
0,2011,0,141,25,136,1172
0,2011,0,151,33,136,1172
0,2011,0,157,34,136,1172
0,2011,0,156,37,136,1172
0,2010,0,182,54,136,215
0,2010,0,169,41,140,184
0,2010,0,188,,137,223
0,2010,0,171,44,137,223
0,2011,0,195,70,151,733
0,2011,0,158,35,152,722
0,2011,0,158,40,152,722
0,2010,0,160,38,137,223
0,2010,0,172,46,141,199
0,2010,0,185,64,137,223
0,2010,0,193,47,138,206
0,2010,0,199,76,135,228
0,2010,0,167,41,136,215
0,2006,0,193,61,131,328
1,2010,0,162,40,135,228
0,2010,0,181,52,135,228
0,2010,0,201,74,137,223
0,2010,0,178,54,136,215
0,2011,0,143,28,135,838
0,2010,0,166,42,136,215
0,2010,0,182,57,135,228
0,2010,0,171,48,136,215
0,2010,0,160,40,136,215
0,2011,0,135,23,137,1393
0,2011,0,140,24,137,1393
0,2011,0,140,25,137,1393
1,2011,0,141,25,136,1172
1,2011,0,145,27,137,1393
0,2011,0,151,28,137,1393
0,2011,0,145,29,137,1393
0,2011,0,151,29,136,1172
0,2005,0,153,33,148,1385
0,2011,0,153,33,136,1172
0,2005,0,159,34,148,1385
0,2011,0,159,37,137,1393
0,2011,0,159,37,136,1172
0,2011,0,169,46,137,1393
1,2005,0,178,50,148,1385
0,2005,0,183,59,148,1385
1,2005,0,189,61,148,1385
0,2005,0,200,64,147,1201
0,2005,0,183,47,148,1385
0,2005,0,186,66,148,1385
1,2005,0,194,66,148,1385
0,2005,0,211,80,148,1385
1,2005,0,160,37,148,1385
0,2005,0,215,90,147,1201
0,2005,0,176,50,148,1385
0,2011,0,168,47,137,1393
0,2011,0,137,24,137,1393
1,2011,0,138,23,137,1393
1,2011,0,144,26,138,1373
0,2011,0,141,26,138,1373
0,2011,0,147,28,137,1393
0,2011,0,149,29,137,1393
0,2011,0,158,39,136,1172
1,2005,0,169,44,147,1201
1,2005,0,169,45,148,1385
0,2005,0,159,33,148,1385
0,2005,0,213,84,147,1201
1,2005,0,200,73,151,915
1,2005,0,181,47,148,1385
1,2005,0,206,75,148,1385
0,2005,0,159,37,147,1201
0,2005,0,174,48,147,1201
0,2011,0,148,28,137,1393
1,2011,0,138,26,137,1393
0,2011,0,152,33,139,1320
0,2005,0,165,37,147,1201
0,2011,0,152,35,137,1393
1,2010,0,188,62,130,340
0,2011,0,150,30,137,1393
0,2010,0,172,47,131,343
0,2010,0,192,59,129,326
0,2010,0,166,38,132,314
0,2010,0,173,44,132,314
0,2010,0,180,50,130,340
0,2010,0,177,53,131,343
0,2010,0,170,44,130,340
0,2010,0,165,50,132,314
0,2010,0,180,54,130,340
0,2010,0,176,56,130,340
0,2011,0,143,27,136,1172
0,2011,0,136,25,138,1373
0,2011,0,140,24,138,1373
0,2006,0,203,71,130,430
1,2006,0,198,75,130,430
0,2011,0,153,31,137,1393
1,2011,0,138,23,137,1393
0,2010,0,166,42,131,343
0,2010,0,165,41,131,343
