year,region,country,sex,number
1980,Europe,Netherlands,Female,1.1
1980,Europe,Hungary,Female,1.6
1993,Europe,Turkey,Female,7.9
1995,Europe,Kazakhstan,Female,5.1
1996,Europe,Uzbekistan,Female,13.7
1997,Europe,Kyrgyzstan,Female,5.6
1998,Europe,Turkey,Female,7.1
1998,Europe,Armenia,Female,2.6
1999,Europe,Kazakhstan,Female,3.8
1999,Europe,The former Yugoslav republic of Macedonia,Female,1.6
1999,Europe,Romania,Female,2.8
2000,Europe,Azerbaijan,Female,15
2000,Europe,Albania,Female,14.2
2000,Europe,Bosnia and Herzegovina,Female,3.3
2000,Europe,Ukraine,Female,3.5
2000,Europe,Armenia,Female,2.1
2000,Europe,Romania,Female,2.8
2001,Europe,Czech Republic,Female,1.6
2001,Europe,Romania,Female,3
2002,Europe,Romania,Female,2.9
2002,Europe,Uzbekistan,Female,6.2
2003,Europe,Turkey,Female,3.9
2003,Europe,Germany,Female,1.3
2004,Europe,The former Yugoslav republic of Macedonia,Female,1.2
2004,Europe,Bulgaria,Female,1.9
2005,Europe,Georgia,Female,1.9
2005,Europe,Kyrgyzstan,Female,2.5
2005,Europe,Republic of Moldova,Female,3.4
2005,Europe,The former Yugoslav republic of Macedonia,Female,1.9
2005,Europe,Montenegro,Female,1.6
2005,Europe,Tajikistan,Female,13.3
2005,Europe,Armenia,Female,5.2
2005,Europe,Albania,Female,5.8
2005,Europe,Belarus,Female,1
2005,Europe,Serbia,Female,1.3
2006,Europe,Uzbekistan,Female,4.3
2006,Europe,Azerbaijan,Female,8
2006,Europe,Bosnia and Herzegovina,Female,1
2006,Europe,Kazakhstan,Female,4.3
2007,Europe,Tajikistan,Female,14
2008,Europe,Albania,Female,6
2009,Europe,Georgia,Female,1
2009,Europe,Kyrgyzstan,Female,4.7
2009,Europe,Tajikistan,Female,7.7
2010,Europe,The former Yugoslav republic of Macedonia,Female,1.4
2010,Europe,Armenia,Female,5.9
2010,Europe,Kazakhstan,Female,3.6
2010,Europe,Serbia,Female,1.7
2011,Europe,The former Yugoslav republic of Macedonia,Female,1.1
2011,Europe,Bosnia and Herzegovina,Female,1.3
2012,Europe,Republic of Moldova,Female,2.2
2012,Europe,Tajikistan,Female,13.1
2012,Europe,Kyrgyzstan,Female,3.7
2013,Europe,Azerbaijan,Female,4.9
2013,Europe,Montenegro,Female,0.9
2013,Europe,Turkey,Female,2.1
1975,South-East Asia,Nepal,Female,60.3
1987,South-East Asia,Sri Lanka,Female,27.3
1987,South-East Asia,Thailand,Female,16
1989,South-East Asia,Indonesia,Female,25.4
1991,South-East Asia,Bangladesh,Female,65.5
1992,South-East Asia,Bangladesh,Female,63.9
1992,South-East Asia,Indonesia,Female,26
1992,South-East Asia,India,Female,48.8
1993,South-East Asia,Bangladesh,Female,58.9
1994,South-East Asia,Maldives,Female,31.9
