date,site,Length (mm),Weight (gm),Sex,Stage,Count
4/17/2013,Shadow Brook,450,,Male,Ripe,1
4/10/2017,Shadow Brook,450,,Male,Ripe,1
4/12/2017,Shadow Brook,450,,Male,Ripe,1
4/9/2019,Shadow Brook,450,,Male,Ripe,1
4/17/2013,Hayden Creek,451,,Male,Ripe,1
4/18/2013,Shadow Brook,451,,Male,Ripe,1
4/12/2017,Shadow Brook,451,,Male,Ripe,1
4/14/2017,Hayden Creek,451,,Male,Ripe,1
4/10/2018,Shadow Brook,451,,Male,Ripe,1
4/5/2009,Hayden Creek,452,,Male,Ripe ,1
4/12/2009,Hayden Creek,452,,Male,Ripe,1
4/12/2009,Shadow Brook,452,,Male,Ripe,1
4/15/2013,Hayden Creek,452,,Male,Hard,1
4/16/2013,Shadow Brook,452,,Male,Ripe,1
4/17/2013,Shadow Brook,452,,Male,Ripe,1
4/18/2013,Shadow Brook,452,,Male,Ripe,1
4/18/2013,Shadow Brook,452,,Male,Ripe,1
4/18/2013,Shadow Brook,452,,Male,Ripe,1
4/22/2013,Shadow Brook,452,,Male,Ripe,1
4/10/2017,Shadow Brook,452,,Male,Ripe,1
4/13/2017,Hayden Creek,452,,Female,Ripe,1
4/11/2018,Shadow Brook,452,,Male,Ripe,1
4/23/2018,Hayden Creek,452,,Male,Ripe,1
4/5/2009,Hayden Creek,453,,Male,Ripe,1
4/7/2009,Hayden Creek,453,1077,Male,Ripe,1
4/17/2009,Cripple Creek,453,,Male,Ripe,1
4/16/2013,Hayden Creek,453,,Male,Ripe,1
4/12/2017,Hayden Creek,453,,Male,Ripe,1
4/5/2009,Shadow Brook,454,,Male,Ripe,1
4/16/2009,Cripple Creek,454,,Male,Spent,1
4/17/2009,Shadow Brook,454,,Male,Ripe,1
4/17/2009,Shadow Brook,454,,Male,Ripe,1
4/17/2013,Hayden Creek,454,,Male,Ripe,1
4/18/2013,Shadow Brook,454,,Male,Ripe,1
4/18/2013,Shadow Brook,454,,Male,Ripe,1
4/18/2013,Shadow Brook,454,,Male,Ripe,1
4/21/2013,Shadow Brook,454,,Male,Ripe,1
4/10/2017,Shadow Brook,454,,Male,Ripe,1
4/13/2018,Shadow Brook,454,858,Male,Ripe,1
4/17/2019,Cripple Creek,454,,Male,Ripe,1
4/9/2009,Hayden Creek,455,1021,Male,Ripe,1
4/12/2009,Hayden Creek,455,,Female,Ripe,1
4/14/2009,Hayden Creek,455,,Male,Ripe,1
4/17/2009,Shadow Brook,455,,Male,Ripe,1
4/15/2013,Hayden Creek,455,,Male,Ripe,1
4/15/2013,Shadow Brook,455,,Male,Ripe,1
4/16/2013,Hayden Creek,455,,Male,Ripe,1
4/17/2013,Shadow Brook,455,,Male,Ripe,1
4/10/2017,Hayden Creek,455,,Male,Ripe,1
4/12/2017,Shadow Brook,455,,Male,Ripe,1
4/14/2017,Shadow Brook,455,,Male,Ripe,1
4/19/2018,Shadow Brook,455,826,Male,Ripe,1
4/9/2009,Hayden Creek,456,907,Male,Ripe,1
4/14/2009,Hayden Creek,456,,Male,Ripe,1
4/14/2009,Shadow Brook,456,,Female,Ripe,1
4/15/2013,Shadow Brook,456,,Male,Ripe,1
4/16/2013,Shadow Brook,456,,Male,Ripe,1
4/18/2013,Shadow Brook,456,,Male,Ripe,1
4/21/2013,Shadow Brook,456,,Male,Ripe,1
4/10/2017,Shadow Brook,456,,Male,Ripe,1
4/10/2017,Shadow Brook,456,,Male,Ripe,1
4/11/2017,Shadow Brook,456,,Male,Ripe,1
4/14/2017,Hayden Creek,456,,Male,Ripe,1
4/14/2017,Shadow Brook,456,,Male,Ripe,1
4/17/2018,Shadow Brook,456,900,Male,Ripe,1
4/26/2018,Shadow Brook,456,1474,Male,Ripe,1
4/18/2019,Cripple Creek,456,,Male,Ripe,1
4/5/2009,Hayden Creek,457,,Male,Ripe,1
